Date,M,AL,AS,BR,CA,CL,CR,CU,EC1,EC2,EC3,FE,H,K,MN,NA,NI,NO3,OC1,OC2,OC3,OC4,OP,PB,RB,S,SE,SI,SR,TI,V,ZN
5-ก.พ.-01,11.67742,0.03603,0.00078,0.00291,0.01507,0.00199,0.000535,0.00267,1.0614,0.1319,0.0092,0.06407,0.7194,0.03405,0.000505,0.09083,0.00057,1.742,0.3681,0.5092,0.3405,0.5399,0.4387,0.00214,0.000085,1.93516,0.00147,0.06017,0.00034,0.00076,0.000665,0.00955
6-ก.พ.-01,16.31068,0.03426,0.000225,0.00305,0.01682,0.002325,0.000665,0.00271,1.3808,0.0929,0.0279,0.05959,0.71006,0.03361,0.000625,0.0122,0.0026,1.599,0.2508,0.6285,0.4644,0.6223,0.1796,0.0028,0.000095,1.58646,0.00156,0.05211,0.00011,0.00423,0.00371,0.01139
7-ก.พ.-01,8.35526,0.03418,0.00081,0.00255,0.00612,0.0021,0.000605,0.00229,1.071,0.0895,0.0278,0.01991,0.42722,0.02431,0.000575,0.04607,0.00425,0.4199,0.2469,0.3981,0.2685,0.3364,0.2716,0.00137,0.00009,0.95005,0.00131,0.03641,0.000105,0.000855,0.00618,0.00831
8-ก.พ.-01,23.42767,0.06664,0.0007,0.00629,0.04285,0.00218,0.000605,0.00494,3.5549,0.0427,0.00915,0.14229,1.04179,0.06602,0.00057,0.19267,0.00643,3.6789,0.9177,0.8537,1.1585,1.6098,0.02135,0.00558,0.00009,1.4489,0.00171,0.10302,0.00057,0.00442,0.01284,0.0179
9-ก.พ.-01,14.92308,0.04332,0.00026,0.00535,0.02806,0.001755,0.000475,0.00159,0.8716,0.0985,0.00895,0.03922,0.58017,0.04934,0.000445,0.44872,0.00564,1.599667626,0.0925,0.4209,0.3075,0.9522,0.2448,0.00435,0.00008,1.66513,0.003,0.07326,0.00021,0.00345,0.00988,0.01188
10-ก.พ.-01,16.79245,0.04007,0.00073,0.00443,0.02012,0.002055,0.000565,0.00442,1.2073,0.01525,0.00915,0.11306,0.86431,0.0357,0.00053,0.17961,0.00345,4.2389,0.311,0.5915,0.9116,1.1768,0.02135,0.0045,0.000085,1.97044,0.00128,0.05778,0.00034,0.00842,0.00528,0.0186
11-ก.พ.-01,20.90032,0.03088,0.00064,0.00479,0.0163,0.002075,0.00058,0.00407,1.4417,0.1411,0.0092,0.07059,1.1745,0.03205,0.00148,0.11333,0.00215,4.8833,0.4939,0.4325,0.908,0.7822,0.1074,0.00528,0.00009,1.81058,0.00157,0.04121,0.00011,0.00791,0.00509,0.01567
12-ก.พ.-01,11.09325,0.0455,0.00075,0.00358,0.04004,0.001735,0.00049,0.00475,1.5452,0.0405,0.00935,0.12956,0.57304,0.03015,0.00141,0.05864,0.0035,1.1598,0.1963,0.6324,0.7041,0.8224,0.0218,0.00425,0.000085,1.15555,0.0017,0.1085,0.0001,0.0081,0.00436,0.02032
13-ก.พ.-01,10.88235,0.05428,0.00057,0.00339,0.02844,0.00176,0.000485,0.00204,0.6478,0.0472,0.00945,0.07428,0.60576,0.0295,0.00128,0.09709,0.00046,0.4878,0.1069,0.3616,0.3616,0.3648,0.195,0.00379,0.000085,1.75582,0.00136,0.08935,0.0001,0.00688,0.0006,0.00851
14-ก.พ.-01,11.29496,0.12226,0.00033,0.00398,0.1609,0.001835,0.00051,0.00564,1.1277,0.1241,0.01065,0.23784,0.4051,0.06575,0.00313,0.21585,0.0054,1.8746,0.7057,0.5567,0.9468,0.9007,0.0248,0.00654,0.0001,0.73827,0.00085,0.29589,0.00062,0.01081,0.00718,0.01866
15-ก.พ.-01,7.58621,0.04857,0.00059,0.00243,0.06559,0.001525,0.000435,0.00224,0.2246,0.0154,0.00925,0.09099,0.40484,0.03051,0.00041,0.00863,0.00163,0.935,0.1415,0.5969,0.9723,0.5077,0.02155,0.00313,0.000085,1.01367,0.00129,0.08205,0.0001,0.00558,0.00212,0.00758
16-ก.พ.-01,14.34783,0.06443,0.00071,0.00647,0.04785,0.001825,0.00155,0.00487,0.2407,0.01545,0.00925,0.17138,0.72442,0.05649,0.00306,0.10227,0.00264,1.3503,0.1852,0.7315,2.7963,0.7068,0.0216,0.00561,0.000085,1.54149,0.00148,0.11662,0.00028,0.01007,0.00575,0.02298
17-ก.พ.-01,8.69565,0.03485,0.00016,0.00151,0.00748,0.0016,0.000445,0.00183,0.2185,0.0154,0.00925,0.0415,0.52146,0.01393,0.00199,0.04601,0.000055,0.1148,0.0923,0.2492,0.6123,0.2708,0.02155,0.00177,0.00027,1.58063,0.00127,0.03968,0.00022,0.00458,0.000545,0.00372
18-ก.พ.-01,11.11111,0.06217,0.000235,0.00368,0.03631,0.00152,0.00042,0.0027,1.4299,0.122,0.00915,0.09241,0.53975,0.03656,0.00039,0.10048,0.00081,0.8908,0.3018,0.3811,0.8018,0.5488,0.02135,0.00336,0.00008,1.13925,0.00262,0.10905,0.000095,0.00672,0.00136,0.01023
19-ก.พ.-01,15.919,0.07632,0.00081,0.00646,0.07688,0.001745,0.000475,0.00475,2.0489,0.1896,0.00915,0.16862,0.83297,0.05842,0.00215,0.12782,0.00163,1.011,0.4159,0.5321,1.0765,0.8838,0.107,0.00521,0.000085,1.74041,0.0015,0.1521,0.00104,0.0105,0.00221,0.01759
20-ก.พ.-01,11.08696,0.0668,0.000255,0.00477,0.06185,0.001475,0.000415,0.00451,1.6935,0.0557,0.0093,0.13682,0.52379,0.04596,0.00126,0.09723,0.00323,2.0198,0.0929,0.8111,1.0155,1.1238,0.02165,0.00438,0.000085,0.86416,0.00128,0.15174,0.00022,0.00718,0.00309,0.02384
