Date,M,AL,AS,BR,CA,CL,CR,CU,EC1,EC2,EC3,FE,H,K,MN,NA,NI,NO3,OC1,OC2,OC3,OC4,OP,PB,RB,S,SE,SI,SR,TI,V,ZN
21-มี.ค.-02,0.6536,0.04571,0.000516667,0.000573333,0.00642,0.004941667,0.001508333,0.000703333,0.2994,0.043366667,0.014416667,0.008273333,0.040033333,0.006046667,0.002006667,0.028453333,0.0003,0.078033333,0.211333333,0.1231,0.145766667,0.156866667,0.017333333,0.0007,0.000183333,0.076603333,0.000263333,0.015713333,0.00022,0.00323,0.005453333,0.001243333
22-มี.ค.-02,0.3828,0.02921,0.000243333,0.00037,0.00316,0.003016667,0.000941667,0.000346667,0.163733333,0.0519,0.018233333,0.00406,0.022526667,0.00366,0.000993333,0.013641667,0.000158333,0.048566667,0.118666667,0.0673,0.067366667,0.0539,0.0535,0.000573333,0.000166667,0.048686667,0.000226667,0.01091,0.0002,0.001983333,0.001306667,0.000583333
23-มี.ค.-02,0.634033333,0.03308,9.16667E-05,0.000683333,0.005226667,0.004233333,0.001326667,0.000393333,0.323533333,0.0373,0.014333333,0.003883333,0.03387,0.004686667,0.001083333,0.087563333,0.000175,0.098733333,0.210266667,0.1125,0.102466667,0.1271,0.01725,0.0009,0.000183333,0.065676667,0.000313333,0.011826667,0.000225,0.00229,0.001541667,0.00113
24-มี.ค.-02,0.739566667,0.0568,0.000523333,0.00072,0.00749,0.006408333,0.001908333,0.00051,0.514,0.055966667,0.019,0.006333333,0.059593333,0.00761,0.001853333,0.041596667,0.000313333,6.398670504,0.335666667,0.123933333,0.159266667,0.208666667,0.017083333,0.000906667,0.0002,0.1332,0.00036,0.02025,0.000241667,0.003046667,0.002325,0.001206667
25-มี.ค.-02,0.358066667,0.03401,0.000463333,0.000403333,0.005063333,0.003758333,0.001426667,0.00053,0.175666667,0.051633333,0.01425,0.004856667,0.023523333,0.005586667,0.001041667,0.019886667,0.000256667,0.053433333,0.199666667,0.0691,0.066466667,0.063533333,0.050666667,0.000566667,0.000175,0.04346,0.0002,0.01261,0.000213333,0.00214,0.00145,0.000716667
26-มี.ค.-02,0.7455,0.04105,0.000586667,0.000483333,0.00466,0.004733333,0.001291667,0.000433333,0.403933333,0.0526,0.014333333,0.005416667,0.05661,0.005703333,0.001116667,0.027123333,0.00033,0.111466667,0.473266667,0.1066,0.130266667,0.1414,0.0199,0.00096,0.000183333,0.112316667,0.000313333,0.013496667,0.000225,0.001891667,0.00205,0.00101
27-มี.ค.-02,0.483233333,0.03072,8.33333E-05,0.000383333,0.004023333,0.00405,0.001241667,0.00063,0.254333333,0.0585,0.0145,0.006463333,0.038546667,0.00474,0.001058333,0.024323333,0.000175,0.057466667,0.310733333,0.0928,0.083066667,0.092533333,0.053966667,0.000536667,0.000175,0.08186,0.00033,0.011463333,0.000208333,0.002203333,0.001508333,0.001006667
28-มี.ค.-02,0.655566667,0.03502,8.33333E-05,0.00053,0.004416667,0.004191667,0.001216667,0.000363333,0.4062,0.062766667,0.018433333,0.003626667,0.046863333,0.004873333,0.001041667,0.025236667,0.000158333,0.0601,0.331333333,0.1345,0.102166667,0.1246,0.062,0.000693333,0.000273333,0.100826667,0.00033,0.01261,0.0002,0.002263333,0.001623333,0.00073
29-มี.ค.-02,0.440966667,0.017275,0.000553333,0.00037,0.004096667,0.003741667,0.00127,0.000266667,0.198533333,0.0516,0.0272,0.002343333,0.0311,0.00434,0.00118,0.049323333,0.000176667,0.062666667,0.184533333,0.1026,0.071966667,0.086333333,0.079166667,0.000546667,0.000166667,0.07578,0.000366667,0.009566667,0.000208333,0.00197,0.001876667,0.000503333
30-มี.ค.-02,0.417266667,0.03034,8.33333E-05,0.00038,0.00421,0.003391667,0.001058333,0.000566667,0.210666667,0.061533333,0.019533333,0.00533,0.02577,0.004026667,0.001083333,0.014758333,0.000166667,0.051466667,0.175,0.0961,0.073866667,0.071266667,0.045833333,0.000353333,0.000186667,0.04783,0.000276667,0.011553333,0.0002,0.001525,0.001291667,0.000763333
31-มี.ค.-02,0.320266667,0.02109,0.00022,0.000136667,0.00461,0.002766667,0.000816667,0.00022,0.115866667,0.064733333,0.019533333,0.002096667,0.01887,0.00255,0.00093,0.013676667,0.00015,0.050533333,0.1686,0.0747,0.054916667,0.045166667,0.064933333,0.000336667,0.00015,0.04533,0.000233333,0.00684,0.000243333,0.001463333,0.001,0.000466667
1-เม.ย.-02,0.4884,0.04216,9.16667E-05,0.000466667,0.008033333,0.004758333,0.001475,0.000526667,0.478666667,0.077733333,0.020533333,0.004916667,0.036193333,0.005746667,0.001275,0.02127,0.000183333,0.064366667,0.2094,0.1182,0.127666667,0.134966667,0.020233333,0.000743333,0.000183333,0.064376667,0.000313333,0.013343333,0.00023,0.002125,0.0018,0.000943333
2-เม.ย.-02,0.4795,0.019225,8.33333E-05,0.00047,0.004663333,0.004216667,0.001386667,0.000686667,0.2474,0.0634,0.022866667,0.005483333,0.03741,0.005083333,0.001346667,0.022453333,0.000158333,0.053866667,0.2476,0.1005,0.090166667,0.109966667,0.037566667,0.000533333,0.000166667,0.08462,0.00023,0.01213,0.000223333,0.001783333,0.0015,0.000983333
3-เม.ย.-02,0.402,0.03555,0.000253333,0.00034,0.004213333,0.004316667,0.001316667,0.00035,0.198,0.0689,0.014833333,0.005143333,0.032173333,0.004233333,0.001141667,0.02058,0.000166667,0.052166667,0.122666667,0.0809,0.070966667,0.059,0.050933333,0.000456667,0.000166667,0.071663333,0.00025,0.011983333,0.000208333,0.00284,0.0016,0.000656667
4-เม.ย.-02,0.713066667,0.02395,0.0001,0.000506667,0.00549,0.005216667,0.001566667,0.000513333,0.3964,0.0528,0.023033333,0.004673333,0.05908,0.007393333,0.00154,0.027743333,0.00028,6.398670504,0.448066667,0.1815,0.152466667,0.175,0.103433333,0.000756667,0.000183333,0.123846667,0.000383333,0.016623333,0.000225,0.003156667,0.001908333,0.00107
5-เม.ย.-02,0.6573,0.02614,0.000426667,0.000343333,0.003523333,0.003425,0.001075,0.00072,0.2274,0.0471,0.017666667,0.00356,0.026103333,0.0035,0.000925,0.04265,0.00024,0.079833333,0.171,0.0956,0.110166667,0.098066667,0.017666667,0.00043,0.000175,0.02936,0.00022,0.008256667,0.000216667,0.001793333,0.002083333,0.00056
6-เม.ย.-02,0.7953,0.02566,8.33333E-05,0.000493333,0.00514,0.004475,0.001341667,0.00055,0.248,0.0432,0.017933333,0.004136667,0.041933333,0.004826667,0.00115,0.050043333,0.000166667,0.082733333,0.255066667,0.1334,0.140366667,0.1396,0.017833333,0.000676667,0.000396667,0.08294,0.00033,0.010356667,0.000223333,0.00233,0.003123333,0.000786667
